,city,icao,lat,lon,name,state,LL,JA
218,Ainsworth,KANW,42.5792007446,-99.9929962158,Ainsworth Municipal Airport,Nebraska,4.81,2.99
219,Lima,KAOH,40.7069015503,-84.0267028809,Lima Allen County Airport,Ohio,4.66,3.89
220,Altoona,KAOO,40.29639816,-78.31999969,Altoona Blair County Airport,Pennsylvania,4.99,4.50
221,Denver,KAPA,39.57009888,-104.848999,Centennial Airport,Colorado,4.42,3.74
222,Napa,KAPC,38.2131996155,-122.28099823,Napa County Airport,California,4.64,3.93
223,Naples,KAPF,26.1525993347,-81.7752990723,Naples Municipal Airport,Florida,2.71,3.24
224,Alpena,KAPN,45.0780983,-83.56030273,Alpena County Regional Airport,Michigan,5.25,5.03
225,Apple Valley,KAPV,34.5752983093,-117.185997009,Apple Valley Airport,California,3.45,2.98
226,Zapata,KAPY,26.9687995911,-99.2489013672,Zapata County Airport,Texas,4.60,3.55
227,Llano,KAQO,30.783700943,-98.6620025635,Llano Municipal Airport,Texas,3.10,2.85
228,New Iberia,KARA,30.0377998352,-91.8839035034,Acadiana Regional Airport,Louisiana,5.82,5.47
229,Ann Arbor,KARB,42.2229995728,-83.7455978394,Ann Arbor Municipal Airport,Michigan,4.24,2.74
230,Walnut Ridge,KARG,36.1246667,-90.9251111,Walnut Ridge Regional Airport,Arkansas,3.44,3.15
231,Chicago/Aurora,KARR,41.771900177,-88.4757003784,Aurora Municipal Airport,Illinois,4.75,3.94
232,Watertown,KART,43.9919013977,-76.021697998,Watertown International Airport,New-York,4.50,4.00
233,Minocqua-Woodruff,KARV,45.92789841,-89.73090363,Lakeland-Noble F. Lee Memorial field,Wisconsin,4.74,3.79
234,Beaufort,KARW,32.4122009277,-80.6343994141,Beaufort County Airport,South-Carolina,4.72,3.52
235,Slidell,KASD,30.3451004,-89.82080078,Slidell Airport,Louisiana,4.44,4.49
236,Aspen,KASE,39.22320175,-106.8690033,Aspen-Pitkin Co/Sardy Field,Colorado,4.42,3.74
237,Springdale,KASG,36.176399231,-94.1193008423,Springdale Municipal Airport,Arkansas,4.10,4.00
238,Nashua,KASH,42.7817001343,-71.5148010254,Boire Field,New-Hampshire,5.75,4.85
239,Ahoskie,KASJ,36.2975006104,-77.1708984375,Tri County Airport,North-Carolina,4.82,2.29
240,Marshall,KASL,32.5205001831,-94.307800293,Harrison County Airport,Texas,3.45,2.85
241,Warsaw,KASW,41.2747001648,-85.8401031494,Warsaw Municipal Airport,Indiana,3.68,3.77
242,Ashland,KASX,46.54850006,-90.91899872,John F Kennedy Memorial Airport,Wisconsin,N/A,4.00
243,Atlanta,KATL,33.6366996765,-84.4281005859,Hartsfield Jackson Atlanta International Airport,Georgia,7.99,7.11
244,Artesia,KATS,32.8525009155,-104.468002319,Artesia Municipal Airport,New-Mexico,5.15,4.15
245,Appleton,KATW,44.2580986023,-88.5190963745,Outagamie County Regional Airport,Wisconsin,4.59,3.89
246,Watertown,KATY,44.91400146,-97.15470123,Watertown Regional Airport,South-Dakota,4.50,3.50
247,Augusta,KAUG,44.3205986023,-69.7973022461,Augusta State Airport,Maine,4.95,3.95
248,Auburn,KAUN,38.95479965,-121.0820007,Auburn Municipal Airport,California,4.39,4.59
249,Auburn,KAUO,32.61510086,-85.43399811,Auburn Opelika Robert G. Pitts Airport,Alabama,3.50,3.30
250,Austin,KAUS,30.1944999695,-97.6698989868,Austin Bergstrom International Airport,Texas,3.99,4.07
251,Wausau,KAUW,44.9262008667,-89.6266021729,Wausau Downtown Airport,Wisconsin,N/A,4.08
252,South Hill,KAVC,36.68830109,-78.05449677,Mecklenburg Brunswick Regional Airport,Virginia,4.70,3.89
253,Alva,KAVK,36.7732009888,-98.6698989868,Alva Regional Airport,Oklahoma,3.85,3.40
254,Asheville,KAVL,35.4361991882,-82.5418014526,Asheville Regional Airport,North-Carolina,4.68,5.85
255,Avon Park,KAVO,27.59119987,-81.52780151,Avon Park Executive Airport,Florida,3.68,4.85
256,Wilkes-Barre/Scranton,KAVP,41.3385009766,-75.7233963013,Wilkes Barre Scranton International Airport,Pennsylvania,5.27,3.63
257,Tucson,KAVQ,32.4095993042,-111.21800231899999,Marana Regional Airport,Arizona,4.60,3.90
258,Washington,KAWG,41.2761001587,-91.6734008789,Washington Municipal Airport,Iowa,3.31,2.99
259,West Memphis,KAWM,35.1351013184,-90.2343978882,West Memphis Municipal Airport,Arkansas,2.73,2.82
260,Arlington,KAWO,48.16070175,-122.1589966,Arlington Municipal Airport,Washington,3.74,3.60
261,Houston,KAXH,29.5060997009,-95.4768981934,Houston Southwest Airport,Texas,3.85,3.04
262,Alexandria,KAXN,45.8662986755,-95.3946990967,Chandler Field,Minnesota,3.85,3.95
263,Altus,KAXS,34.6963996887,-99.3403015137,Altus Quartz Mountain Regional Airport,Oklahoma,3.25,2.99
264,Angel Fire,KAXX,36.422000885,-105.290000916,Angel Fire Airport,New-Mexico,4.50,4.00
265,Waycross,KAYS,31.2490997314,-82.3955001831,Waycross Ware County Airport,Georgia,3.17,2.40
266,Colorado City,KAZC,36.9598999023,-113.013999939,Colorado City Municipal Airport,Arizona,5.35,4.95
267,Hazlehurst,KAZE,31.8847007751,-82.6473999023,Hazlehurst Airport,Georgia,3.95,N/A
268,Kalamazoo,KAZO,42.2349014282,-85.5521011353,Kalamazoo Battle Creek International Airport,Michigan,4.10,3.80
